blockchain,block_number,block_size,gas_used,tx_count,timestamp,tx_por_kb,dia_semana
bitcoin,903226,1168147.0,,1605,2025-06-29 13:55:15,1.406946214817142,Sunday
bitcoin,903225,1682044.0,,3831,2025-06-29 13:51:59,2.332248145708436,Sunday
bitcoin,903224,1666725.0,,3765,2025-06-29 13:36:53,2.3131350402735906,Sunday
bitcoin,903223,1679238.0,,4825,2025-06-29 13:32:58,2.942286918233151,Sunday
bitcoin,903222,1011728.0,,1059,2025-06-29 13:07:53,1.0718453971818513,Sunday
bitcoin,903221,1871125.0,,2819,2025-06-29 13:03:08,1.5427381922640122,Sunday
bitcoin,903220,523196.0,,402,2025-06-29 12:51:50,0.7867950060780281,Sunday
bitcoin,903219,1729644.0,,2497,2025-06-29 12:50:42,1.4782972681083506,Sunday
bitcoin,903218,1756242.0,,2796,2025-06-29 12:41:00,1.6302445790500397,Sunday
bitcoin,903217,1681289.0,,801,2025-06-29 12:28:10,0.4878542594402271,Sunday
bitcoin,903216,1339344.0,,1355,2025-06-29 12:24:18,1.0359698479255517,Sunday
bitcoin,903215,1995622.0,,1176,2025-06-29 12:24:07,0.6034329146501692,Sunday
bitcoin,903214,1616189.0,,2543,2025-06-29 12:18:46,1.6112174999334854,Sunday
bitcoin,903213,1717581.0,,3638,2025-06-29 12:03:56,2.1689294420466925,Sunday
bitcoin,903212,1789997.0,,4965,2025-06-29 11:56:19,2.840317609470854,Sunday
bitcoin,903211,1674657.0,,4263,2025-06-29 11:54:22,2.6066902058152803,Sunday
bitcoin,903210,1630230.0,,3118,2025-06-29 11:31:00,1.9585162829784755,Sunday
bitcoin,903209,1675290.0,,3714,2025-06-29 11:19:17,2.2701359167666495,Sunday
bitcoin,903208,110925.0,,182,2025-06-29 11:01:30,1.6801262114041018,Sunday
bitcoin,903207,1278538.0,,2209,2025-06-29 11:00:43,1.7692207818617827,Sunday
bitcoin,903206,1950563.0,,4576,2025-06-29 10:51:25,2.4022930815359462,Sunday
bitcoin,903205,243923.0,,396,2025-06-29 10:49:16,1.6624262574664956,Sunday
bitcoin,903204,43233.0,,97,2025-06-29 10:47:03,2.2975042213124235,Sunday
bitcoin,903203,1268894.0,,2961,2025-06-29 10:46:30,2.389532931828821,Sunday
bitcoin,903202,1738006.0,,3257,2025-06-29 10:46:00,1.9189623050783484,Sunday
bitcoin,903201,1695609.0,,4240,2025-06-29 10:34:52,2.5605903247741666,Sunday
bitcoin,903200,1322672.0,,3390,2025-06-29 10:18:39,2.6245055463486033,Sunday
bitcoin,903199,535934.0,,576,2025-06-29 10:14:57,1.1005534263547376,Sunday
bitcoin,903198,994336.0,,2481,2025-06-29 10:12:29,2.555015608406012,Sunday
bitcoin,903197,1812519.0,,3388,2025-06-29 10:08:47,1.9140831075425968,Sunday
bitcoin,903196,1895446.0,,3934,2025-06-29 10:07:05,2.1253129870225793,Sunday
bitcoin,903195,1728471.0,,4248,2025-06-29 10:04:00,2.5166473721572418,Sunday
bitcoin,903194,1829245.0,,2935,2025-06-29 10:01:30,1.6429947874669604,Sunday
bitcoin,903193,1495755.0,,3208,2025-06-29 09:53:59,2.196209940799128,Sunday
bitcoin,903192,1686881.0,,2331,2025-06-29 09:31:49,1.4150043779021757,Sunday
bitcoin,903191,1800948.0,,2302,2025-06-29 09:26:01,1.3088928719763147,Sunday
bitcoin,903190,1574523.0,,1706,2025-06-29 09:10:49,1.1095068157149817,Sunday
bitcoin,903189,1615616.0,,2860,2025-06-29 08:59:17,1.8127079702107431,Sunday
bitcoin,903188,1798354.0,,833,2025-06-29 08:50:12,0.4743181820709382,Sunday
bitcoin,903187,1837394.0,,2499,2025-06-29 08:47:57,1.392720341962584,Sunday
bitcoin,903186,1625475.0,,4054,2025-06-29 08:45:02,2.553897168519971,Sunday
bitcoin,903185,1742465.0,,4881,2025-06-29 08:28:54,2.8684329383947453,Sunday
bitcoin,903184,1672416.0,,4283,2025-06-29 08:11:43,2.6224288693722135,Sunday
bitcoin,903183,1855018.0,,4708,2025-06-29 08:02:28,2.5988923018536747,Sunday
